ID,Name,Description,Type,Lat,Lon,URL,Region,State / Province,Provider,Provider Type,broken asset,Provider URL,Measurements
STS_X_386,A Coruna RADIALES ,A Coruna RADIALES (NW Spain),Ship-based Time Series,43.371400 :: 43.381400,-8.396000 :: -8.386000,http://www.seriestemporales-ieo.com/,"Spain, North Atlantic Ocean",Spain,IEO,unassigned,Y,http://www.seriestemporales-ieo.com/,"Ammonium Concentration, Bacteria, Chlorophyll, Cyanobacteria, Dissolved Organic Carbon, Dissolved Organic Nitrogen, Dissolved Organic Phosphorus, Nitrate, Nitrite Concentration, Oxygen Concentration, Particulate Organic Carbon, Particulate Organic Nitrogen, Particulate Organic Phosphorus, Phosphate Concentration, Phytoplankton, Primary production, Salinity, Silicate Concentration, Water Depth, Water Temperature, Zooplankton"
STS_X_780,A01-ASSET-DEKOSIM ,A01-ASSET-DEKOSIM ,Ship-based Time Series,36.140300 :: 36.150300,33.738400 :: 33.748400,https://ims.metu.edu.tr/,"Mediterranean Sea - Eastern Basin, North Atlantic Ocean",Turkey,METU,unassigned,,https://ims.metu.edu.tr/,"Alkalinity (total), Chlorophyll, Nitrate, Nitrite Concentration, Oxygen Concentration, pH, Phosphate Concentration, Salinity, Silicate Concentration, Water Temperature"
STS_X_781,A02-ASSET-DEKOSIM ,A02-ASSET-DEKOSIM ,Ship-based Time Series,35.993300 :: 36.003300,33.739200 :: 33.749200,https://ims.metu.edu.tr/,"Mediterranean Sea - Eastern Basin, North Atlantic Ocean",Turkey,METU,unassigned,,https://ims.metu.edu.tr/,"Alkalinity (total), Chlorophyll, Nitrate, Nitrite Concentration, Oxygen Concentration, pH, Phosphate Concentration, Salinity, Silicate Concentration, Water Temperature"
STS_X_782,A03-ASSET-DEKOSIM ,A03-ASSET-DEKOSIM ,Ship-based Time Series,35.852100 :: 35.862100,33.742800 :: 33.752800,https://ims.metu.edu.tr/,"Mediterranean Sea - Eastern Basin, North Atlantic Ocean",Turkey,METU,unassigned,,https://ims.metu.edu.tr/,"Alkalinity (total), Chlorophyll, Nitrate, Nitrite Concentration, Oxygen Concentration, pH, Phosphate Concentration, Salinity, Silicate Concentration, Water Temperature"
RH_517,A05,A05,Repeat Hydrography,24.4983 :: 27.916,-79.7883 :: -13.3698,http://cchdo.ucsd.edu/search?query=a05,North Atlantic Ocean,,GO-SHIP,unassigned,,http://cchdo.ucsd.edu/search?query=a05,"Alkalinity (total), Dissolved Inorg. Carbon, Oxygen Concentration, Salinity, Water Temperature"
STS_X_783,A06-ASSET-DEKOSIM ,A06-ASSET-DEKOSIM ,Ship-based Time Series,36.113300 :: 36.123300,33.480000 :: 33.490000,https://ims.metu.edu.tr/,"Mediterranean Sea - Eastern Basin, North Atlantic Ocean",Turkey,METU,unassigned,,https://ims.metu.edu.tr/,"Alkalinity (total), Chlorophyll, Nitrate, Nitrite Concentration, Oxygen Concentration, pH, Phosphate Concentration, Salinity, Silicate Concentration, Water Temperature"
STS_X_784,A07-ASSET-DEKOSIM ,A07-ASSET-DEKOSIM ,Ship-based Time Series,35.991100 :: 36.001100,33.483800 :: 33.493800,https://ims.metu.edu.tr/,"Mediterranean Sea - Eastern Basin, North Atlantic Ocean",Turkey,METU,unassigned,,https://ims.metu.edu.tr/,"Alkalinity (total), Chlorophyll, Nitrate, Nitrite Concentration, Oxygen Concentration, pH, Phosphate Concentration, Salinity, Silicate Concentration, Water Temperature"
STS_X_785,A08-ASSET-DEKOSIM ,A08-ASSET-DEKOSIM ,Ship-based Time Series,35.822900 :: 35.832900,33.483300 :: 33.493300,https://ims.metu.edu.tr/,"Mediterranean Sea - Eastern Basin, North Atlantic Ocean",Turkey,METU,unassigned,,https://ims.metu.edu.tr/,"Alkalinity (total), Chlorophyll, Nitrate, Nitrite Concentration, Oxygen Concentration, pH, Phosphate Concentration, Salinity, Silicate Concentration, Water Temperature"
RH_520,A10,A10,Repeat Hydrography,-30.0174 :: -27.5998,-47.9487 :: 14.9492,http://cchdo.ucsd.edu/search?query=a10,South Atlantic Ocean,,GO-SHIP,unassigned,,http://cchdo.ucsd.edu/search?query=a10,"Alkalinity (total), Dissolved Inorg. Carbon, Oxygen Concentration, Salinity, Water Temperature"
RH_521,A13.5,A13.5,Repeat Hydrography,-53.9386 :: 4.6513,-3.0006 :: 18.4236,http://cchdo.ucsd.edu/search?query=a13,South Atlantic Ocean,,GO-SHIP,unassigned,,http://cchdo.ucsd.edu/search?query=a13,"Alkalinity (total), Dissolved Inorg. Carbon, Oxygen Concentration, Salinity, Water Temperature"
